10?DFJSP10
20 15 3
Operations vector:
12 13 11
11 14  11 14 13
111 9 4.05
61.4 0.7
0.6
155 8 3.6
52.9 0.8
0.6
152 11  4.95 52.9  0.8 0.6
111 12  5.4 52.9  0.8 0.6
168 10  4.5 71.4  0.6 0.8
123 10  4.5 71.4  0.6 0.8
117 10  4.5 71.4  0.6 0.8
199 4 1.8
63.9 0.8
0.6
74 6 2.7
63.9 0.8
0.6
73 7 3.15
63.9 0.8
0.6
129 8 3.6
51.3 0.7
0.6
117 9 4.05
51.3 0.7
0.6
103 9 4.05
51.3 0.7
0.6
119 4 1.8
76.7 0.6
0.8
75 7 3.15
76.7 0.6
0.8
52 7 3.15
76.7 0.6
0.8
186 5 2.25
66.1 0.7
0.8
90 5 2.25
66.1 0.7
0.8
74 6 2.7
66.1 0.7
0.8
150 12  5.4 63  0.8 0.9
114 12  5.4 63  0.8 0.9
104 13  5.85 63  0.8 0.9
158 8 3.6
58.7 0.7
0.5
149 8 3.6
58.7 0.7
0.5
80 9 4.05
58.7 0.7
0.5
92 5 2.25
56.2 0.7
0.9
82 6 2.7
56.2 0.7
0.9
65 6 2.7
56.2 0.7
0.9
197 11  4.95 62.8  0.8 0.7
59 11 4.95
62.8 0.8
0.7
50 12 5.4
62.8 0.8
0.7
197 15  6.75 77.7  0.9 0.7
179 15  6.75 77.7  0.9 0.7
115 15  6.75 77.7  0.9 0.7
144 4 1.8
63.1 0.8
0.9
95 5 2.25
63.1 0.8
0.9
83 6 2.7
63.1 0.8
0.9
168 9 4.05
59.6 0.8
0.5
152 10  4.5 59.6  0.8 0.5
92 11 4.95
59.6 0.8
0.5
192 11  4.95 58.1  0.7 0.8
150 11  4.95 58.1  0.7 0.8
138 11  4.95 58.1  0.7 0.8
198 8 3.6
67.6 0.6
0.6
137 9 4.05
67.6 0.6
0.6
52 9 4.05
67.6 0.6
0.6
181 11  4.95 73.3  0.8 0.8
130 11  4.95 73.3  0.8 0.8
109 13  5.85 73.3  0.8 0.8
192 9 4.05
57.6 0.8
0.8
155 11  4.95 57.6  0.8 0.8
65 11 4.95
57.6 0.8
0.8
108 3 1.35
55.7 0.5
0.5
99 5 2.25
55.7 0.5
0.5
82 6 2.7
55.7 0.5
0.5
87 17 7.65
62.3 0.5
0.8
82 19 8.55
62.3 0.5
0.8
63 19 8.55
62.3 0.5
0.8
184 8 3.6
64.6 0.6
0.8
138 9 4.05
64.6 0.6
0.8
64 10 4.5
64.6 0.6
0.8
190 8 3.6
70.4 0.6
0.8
148 10  4.5 70.4  0.6 0.8
125 11  4.95 70.4  0.6 0.8
107 7 3.15
72.4 0.8
0.7
86 8 3.6
72.4 0.8
0.7
79 8 3.6
72.4 0.8
0.7
182 14  6.3 66.1  0.5 0.7
144 15  6.75 66.1  0.5 0.7
65 17 7.65
66.1 0.5
0.7
170 19  8.55 64.4  0.8 0.7
136 19  8.55 64.4  0.8 0.7
122 20  9 64.4  0.8 0.7
197 10  4.5 75.5  0.8 0.7
152 10  4.5 75.5  0.8 0.7
123 10  4.5 75.5  0.8 0.7
181 8 3.6
55.2 0.6
0.7
133 8 3.6
55.2 0.6
0.7
73 10 4.5
55.2 0.6
0.7
181 7 3.15
60 0.8  0.5
124 7 3.15
60 0.8  0.5
104 8 3.6
60 0.8  0.5
142 5 2.25
65.1 0.8
0.9
139 5 2.25
65.1 0.8
0.9
60 7 3.15
65.1 0.8
0.9
154 16  7.2 68.1  0.8 0.6
132 16  7.2 68.1  0.8 0.6
114 17  7.65 68.1  0.8 0.6
190 7 3.15
74.9 0.8
0.5
156 10  4.5 74.9  0.8 0.5
95 10 4.5
74.9 0.8
0.5
119 14  6.3 73  0.6 0.8
67 16 7.2
73 0.6  0.8
62 17 7.65
73 0.6  0.8
195 8 3.6
50.8 0.8
0.8
151 8 3.6
50.8 0.8
0.8
146 10  4.5 50.8  0.8 0.8
175 6 2.7
72.3 0.8
0.7
165 7 3.15
72.3 0.8
0.7
76 7 3.15
72.3 0.8
0.7
127 11  4.95 71.6  0.9 0.9
99 12 5.4
71.6 0.9
0.9
77 12 5.4
71.6 0.9
0.9
192 14  6.3 71.4  0.6 0.6
183 14  6.3 71.4  0.6 0.6
63 14 6.3
71.4 0.6
0.6
137 5 2.25
79.1 0.6
0.5
121 6 2.7
79.1 0.6
0.5
87 7 3.15
79.1 0.6
0.5
196 15  6.75 50.1  0.9 0.6
137 15  6.75 50.1  0.9 0.6
93 15 6.75
50.1 0.9
0.6
181 8 3.6
66.9 0.7
0.8
106 8 3.6
66.9 0.7
0.8
69 9 4.05
66.9 0.7
0.8
183 17  7.65 63.6  0.9 0.5
129 18  8.1 63.6  0.9 0.5
112 18  8.1 63.6  0.9 0.5
153 12  5.4 72.2  0.7 0.6
151 12  5.4 72.2  0.7 0.6
60 14 6.3
72.2 0.7
0.6
194 18  8.1 65.2  0.6 0.7
69 18 8.1
65.2 0.6
0.7
51 20 9
65.2 0.6
0.7
197 11  4.95 52.7  0.7 0.6
144 11  4.95 52.7  0.7 0.6
120 12  5.4 52.7  0.7 0.6
196 7 3.15
73.3 0.5
0.8
148 8 3.6
73.3 0.5
0.8
124 8 3.6
73.3 0.5
0.8
169 3 1.35
54.2 0.6
0.8
130 5 2.25
54.2 0.6
0.8
129 6 2.7
54.2 0.6
0.8
157 9 4.05
68 0.5  0.6
149 10  4.5 68  0.5 0.6
76 11 4.95
68 0.5  0.6
134 15  6.75 57.1  0.9 0.5
63 17 7.65
57.1 0.9
0.5
50 17 7.65
57.1 0.9
0.5
165 5 2.25
80 0.6  0.7
136 6 2.7
80 0.6  0.7
112 7 3.15
80 0.6  0.7
166 11  4.95 67  0.6 0.7
146 12  5.4 67  0.6 0.7
84 13 5.85
67 0.6  0.7
176 17  7.65 67.9  0.5 0.8
159 18  8.1 67.9  0.5 0.8
94 18 8.1
67.9 0.5
0.8
126 7 3.15
65.2 0.6
0.9
58 7 3.15
65.2 0.6
0.9
57 7 3.15
65.2 0.6
0.9
176 8 3.6
62.3 0.5
0.6
146 9 4.05
62.3 0.5
0.6
76 9 4.05
62.3 0.5
0.6
145 18  8.1 71.3  0.6 0.7
138 19  8.55 71.3  0.6 0.7
121 19  8.55 71.3  0.6 0.7
199 8 3.6
51.8 0.7
0.8
166 9 4.05
51.8 0.7
0.8
52 13 5.85
51.8 0.7
0.8
175 9 4.05
67 0.6  0.7
124 11  4.95 67  0.6 0.7
68 11 4.95
67 0.6  0.7
198 7 3.15
67.2 0.9
0.6
123 7 3.15
67.2 0.9
0.6
101 7 3.15
67.2 0.9
0.6
188 11  4.95 58.2  0.7 0.6
128 12  5.4 58.2  0.7 0.6
55 12 5.4
58.2 0.7
0.6
176 12  5.4 61.1  0.5 0.6
84 13 5.85
61.1 0.5
0.6
72 13 5.85
61.1 0.5
0.6
126 17  7.65 67.8  0.7 0.7
64 17 7.65
67.8 0.7
0.7
51 17 7.65
67.8 0.7
0.7
138 11  4.95 61.8  0.8 0.8
82 11 4.95
61.8 0.8
0.8
53 12 5.4
61.8 0.8
0.8
165 8 3.6
76.9 0.6
0.7
118 8 3.6
76.9 0.6
0.7
70 9 4.05
76.9 0.6
0.7
161 10  4.5 61.5  0.6 0.7
123 11  4.95 61.5  0.6 0.7
120 13  5.85 61.5  0.6 0.7
182 6 2.7
75.9 0.6
0.7
178 6 2.7
75.9 0.6
0.7
90 7 3.15
75.9 0.6
0.7
195 11  4.95 59  0.7 0.7
166 12  5.4 59  0.7 0.7
53 12 5.4
59 0.7  0.7
156 8 3.6
74.4 0.7
0.8
152 8 3.6
74.4 0.7
0.8
108 11  4.95 74.4  0.7 0.8
108 14  6.3 61.9  0.9 0.6
95 15 6.75
61.9 0.9
0.6
87 17 7.65
61.9 0.9
0.6
198 12  5.4 72.9  0.6 0.7
169 13  5.85 72.9  0.6 0.7
110 13  5.85 72.9  0.6 0.7
146 10  4.5 58.6  0.6 0.6
145 10  4.5 58.6  0.6 0.6
88 11 4.95
58.6 0.6
0.6
181 14  6.3 61.1  0.6 0.7
172 15  6.75 61.1  0.6 0.7
102 17  7.65 61.1  0.6 0.7
175 9 4.05
59.1 0.8
0.8
132 9 4.05
59.1 0.8
0.8
78 10 4.5
59.1 0.8
0.8
139 14  6.3 64.5  0.8 0.5
114 14  6.3 64.5  0.8 0.5
82 15 6.75
64.5 0.8
0.5
176 19  8.55 76.6  0.8 0.7
144 19  8.55 76.6  0.8 0.7
81 20 9
76.6 0.8
0.7
180 8 3.6
75.3 0.8
0.6
116 9 4.05
75.3 0.8
0.6
97 10 4.5
75.3 0.8
0.6
189 11  4.95 56  0.8 0.7
180 12  5.4 56  0.8 0.7
175 13  5.85 56  0.8 0.7
116 9 4.05
74.5 0.5
0.8
108 9 4.05
74.5 0.5
0.8
95 10 4.5
74.5 0.5
0.8
157 4 1.8
55.2 0.8
0.8
129 4 1.8
55.2 0.8
0.8
84 6 2.7
55.2 0.8
0.8
94 10 4.5
66.3 0.7
0.7
94 10 4.5
66.3 0.7
0.7
70 10 4.5
66.3 0.7
0.7
113 7 3.15
73.9 0.7
0.7
107 8 3.6
73.9 0.7
0.7
79 9 4.05
73.9 0.7
0.7
165 7 3.15
74.4 0.6
0.9
93 7 3.15
74.4 0.6
0.9
83 8 3.6
74.4 0.6
0.9
181 5 2.25
61.3 0.8
0.6
170 5 2.25
61.3 0.8
0.6
67 7 3.15
61.3 0.8
0.6
156 7 3.15
57 0.5  0.8
153 8 3.6
57 0.5  0.8
50 10 4.5
57 0.5  0.8
129 18  8.1 54.8  0.7 0.8
89 18 8.1
54.8 0.7
0.8
82 19 8.55
54.8 0.7
0.8
115 11  4.95 80  0.7 0.6
108 13  5.85 80  0.7 0.6
74 14 6.3
80 0.7  0.6
163 18  8.1 60.6  0.7 0.7
81 19 8.55
60.6 0.7
0.7
74 19 8.55
60.6 0.7
0.7
187 5 2.25
78.1 0.9
0.7
174 6 2.7
78.1 0.9
0.7
140 7 3.15
78.1 0.9
0.7
179 8 3.6
79 0.5  0.6
168 11  4.95 79  0.5 0.6
108 11  4.95 79  0.5 0.6
138 13  5.85 68.5  0.6 0.6
76 13 5.85
68.5 0.6
0.6
56 13 5.85
68.5 0.6
0.6
185 6 2.7
76.3 0.6
0.8
102 8 3.6
76.3 0.6
0.8
85 8 3.6
76.3 0.6
0.8
184 3 1.35
75.8 0.9
0.6
136 5 2.25
75.8 0.9
0.6
109 5 2.25
75.8 0.9
0.6
152 3 1.35
78.9 0.6
0.6
123 5 2.25
78.9 0.6
0.6
59 6 2.7
78.9 0.6
0.6
191 14  6.3 50.2  0.9 0.6
147 15  6.75 50.2  0.9 0.6
126 15  6.75 50.2  0.9 0.6
144 4 1.8
66.2 0.6
0.7
108 6 2.7
66.2 0.6
0.7
55 7 3.15
66.2 0.6
0.7
185 11  4.95 69.2  0.8 0.7
144 11  4.95 69.2  0.8 0.7
68 11 4.95
69.2 0.8
0.7
125 16  7.2 77.4  0.8 0.7
114 16  7.2 77.4  0.8 0.7
89 17 7.65
77.4 0.8
0.7
91 16 7.2
52.7 0.5
0.9
70 16 7.2
52.7 0.5
0.9
69 17 7.65
52.7 0.5
0.9
129 9 4.05
53.4 0.8
0.9
128 10  4.5 53.4  0.8 0.9
91 11 4.95
53.4 0.8
0.9
189 15  6.75 68.5  0.7 0.6
163 15  6.75 68.5  0.7 0.6
155 17  7.65 68.5  0.7 0.6
152 7 3.15
58.6 0.7
0.6
125 9 4.05
58.6 0.7
0.6
57 9 4.05
58.6 0.7
0.6
101 10  4.5 70.9  0.6 0.5
93 11 4.95
70.9 0.6
0.5
84 12 5.4
70.9 0.6
0.5
183 12  5.4 79.2  0.7 0.7
170 12  5.4 79.2  0.7 0.7
134 13  5.85 79.2  0.7 0.7
190 7 3.15
78.9 0.8
0.6
94 8 3.6
78.9 0.8
0.6
81 8 3.6
78.9 0.8
0.6
192 5 2.25
77.8 0.8
0.5
148 7 3.15
77.8 0.8
0.5
102 8 3.6
77.8 0.8
0.5
193 5 2.25
64.4 0.7
0.9
138 5 2.25
64.4 0.7
0.9
116 6 2.7
64.4 0.7
0.9
196 18  8.1 79  0.5 0.5
129 18  8.1 79  0.5 0.5
124 18  8.1 79  0.5 0.5
185 8 3.6
56 0.5  0.6
105 11  4.95 56  0.5 0.6
78 12 5.4
56 0.5  0.6
169 9 4.05
75.5 0.9
0.6
124 10  4.5 75.5  0.9 0.6
115 10  4.5 75.5  0.9 0.6
161 6 2.7
61.9 0.5
0.8
105 7 3.15
61.9 0.5
0.8
104 8 3.6
61.9 0.5
0.8
159 8 3.6
53.9 0.7
0.7
125 9 4.05
53.9 0.7
0.7
106 10  4.5 53.9  0.7 0.7
110 3 1.35
51.9 0.8
0.7
71 4 1.8
51.9 0.8
0.7
57 5 2.25
51.9 0.8
0.7
143 15  6.75 63.7  0.9 0.6
84 16 7.2
63.7 0.9
0.6
70 16 7.2
63.7 0.9
0.6
195 7 3.15
64.3 0.9
0.8
182 8 3.6
64.3 0.9
0.8
97 10 4.5
64.3 0.9
0.8
154 15  6.75 53  0.8 0.8
127 15  6.75 53  0.8 0.8
96 17 7.65
53 0.8  0.8
143 7 3.15
60.3 0.6
0.8
85 8 3.6
60.3 0.6
0.8
69 9 4.05
60.3 0.6
0.8
154 4 1.8
74.8 0.8
0.8
147 6 2.7
74.8 0.8
0.8
71 6 2.7
74.8 0.8
0.8
192 12  5.4 72.9  0.9 0.8
168 12  5.4 72.9  0.9 0.8
71 13 5.85
72.9 0.9
0.8
199 7 3.15
74.7 0.8
0.7
104 8 3.6
74.7 0.8
0.7
97 9 4.05
74.7 0.8
0.7
175 9 4.05
70.7 0.6
0.7
152 9 4.05
70.7 0.6
0.7
145 9 4.05
70.7 0.6
0.7
200 19  8.55 50.5  0.5 0.6
154 19  8.55 50.5  0.5 0.6
73 20 9
50.5 0.5
0.6
193 12  5.4 74.8  0.8 0.6
130 13  5.85 74.8  0.8 0.6
67 14 6.3
74.8 0.8
0.6
118 18  8.1 72.9  0.8 0.8
104 19  8.55 72.9  0.8 0.8
51 21 9.45
72.9 0.8
0.8
173 15  6.75 58.6  0.7 0.8
164 16  7.2 58.6  0.7 0.8
134 16  7.2 58.6  0.7 0.8
155 11  4.95 64  0.9 0.5
153 13  5.85 64  0.9 0.5
129 13  5.85 64  0.9 0.5
176 8 3.6
59.4 0.9
0.9
148 10  4.5 59.4  0.9 0.9
126 12  5.4 59.4  0.9 0.9
179 15  6.75 50.2  0.8 0.8
146 16  7.2 50.2  0.8 0.8
125 16  7.2 50.2  0.8 0.8
128 9 4.05
69.9 0.9
0.9
126 10  4.5 69.9  0.9 0.9
118 10  4.5 69.9  0.9 0.9
174 7 3.15
59.8 0.5
0.8
145 7 3.15
59.8 0.5
0.8
98 9 4.05
59.8 0.5
0.8
196 6 2.7
76.7 0.5
0.6
154 7 3.15
76.7 0.5
0.6
68 7 3.15
76.7 0.5
0.6
195 13  5.85 76.9  0.6 0.7
171 14  6.3 76.9  0.6 0.7
69 15 6.75
76.9 0.6
0.7
68 12 5.4
60.8 0.5
0.7
53 12 5.4
60.8 0.5
0.7
50 12 5.4
60.8 0.5
0.7
98 3 1.35
67.3 0.8
0.8
76 5 2.25
67.3 0.8
0.8
70 6 2.7
67.3 0.8
0.8
178 5 2.25
54.3 0.6
0.8
162 5 2.25
54.3 0.6
0.8
86 6 2.7
54.3 0.6
0.8
137 9 4.05
79.4 0.8
0.6
80 10 4.5
79.4 0.8
0.6
71 11 4.95
79.4 0.8
0.6
196 11  4.95 51.9  0.5 0.7
129 12  5.4 51.9  0.5 0.7
128 12  5.4 51.9  0.5 0.7
182 9 4.05
70.3 0.8
0.7
90 10 4.5
70.3 0.8
0.7
60 11 4.95
70.3 0.8
0.7
124 5 2.25
62.9 0.6
0.6
76 6 2.7
62.9 0.6
0.6
57 6 2.7
62.9 0.6
0.6
150 15  6.75 53.5  0.7 0.8
66 15 6.75
53.5 0.7
0.8
61 16 7.2
53.5 0.7
0.8
93 4 1.8
72.7 0.7
0.9
93 4 1.8
72.7 0.7
0.9
58 6 2.7
72.7 0.7
0.9
130 18  8.1 68.4  0.6 0.8
104 19  8.55 68.4  0.6 0.8
53 19 8.55
68.4 0.6
0.8
174 14  6.3 62.2  0.7 0.7
162 14  6.3 62.2  0.7 0.7
83 15 6.75
62.2 0.7
0.7
178 18  8.1 79.2  0.6 0.7
135 19  8.55 79.2  0.6 0.7
131 20  9 79.2  0.6 0.7
157 8 3.6
50.4 0.5
0.7
144 9 4.05
50.4 0.5
0.7
98 10 4.5
50.4 0.5
0.7
149 16  7.2 70.8  0.7 0.7
99 16 7.2
70.8 0.7
0.7
80 17 7.65
70.8 0.7
0.7
186 10  4.5 54.3  0.6 0.5
155 11  4.95 54.3  0.6 0.5
94 12 5.4
54.3 0.6
0.5
200 10  4.5 53.6  0.8 0.9
193 11  4.95 53.6  0.8 0.9
164 13  5.85 53.6  0.8 0.9
149 14  6.3 75.8  0.7 0.8
74 15 6.75
75.8 0.7
0.8
66 15 6.75
75.8 0.7
0.8
179 8 3.6
52.1 0.7
0.6
149 10  4.5 52.1  0.7 0.6
139 11  4.95 52.1  0.7 0.6
129 6 2.7
74.9 0.6
0.5
97 6 2.7
74.9 0.6
0.5
88 7 3.15
74.9 0.6
0.5
187 10  4.5 70.8  0.8 0.6
120 11  4.95 70.8  0.8 0.6
118 11  4.95 70.8  0.8 0.6
162 12  5.4 67.7  0.6 0.7
120 14  6.3 67.7  0.6 0.7
56 14 6.3
67.7 0.6
0.7
188 7 3.15
71.6 0.8
0.7
168 7 3.15
71.6 0.8
0.7
67 9 4.05
71.6 0.8
0.7
181 16  7.2 53.1  0.8 0.5
92 17 7.65
53.1 0.8
0.5
88 17 7.65
53.1 0.8
0.5
95 9 4.05
78 0.7  0.8
58 9 4.05
78 0.7  0.8
56 10 4.5
78 0.7  0.8
163 15  6.75 77.9  0.8 0.6
159 16  7.2 77.9  0.8 0.6
86 16 7.2
77.9 0.8
0.6
186 8 3.6
79 0.7  0.7
113 9 4.05
79 0.7  0.7
58 10 4.5
79 0.7  0.7
162 16  7.2 68.8  0.8 0.9
145 17  7.65 68.8  0.8 0.9
50 19 8.55
68.8 0.8
0.9
141 5 2.25
70.6 0.6
0.9
113 5 2.25
70.6 0.6
0.9
89 7 3.15
70.6 0.6
0.9
184 10  4.5 76.7  0.5 0.7
146 11  4.95 76.7  0.5 0.7
121 11  4.95 76.7  0.5 0.7
186 16  7.2 63  0.6 0.5
137 18  8.1 63  0.6 0.5
103 18  8.1 63  0.6 0.5
178 4 1.8
66.5 0.7
0.9
160 6 2.7
66.5 0.7
0.9
88 6 2.7
66.5 0.7
0.9
194 4 1.8
68.4 0.8
0.6
60 5 2.25
68.4 0.8
0.6
59 7 3.15
68.4 0.8
0.6
174 12  5.4 74.5  0.7 0.6
143 12  5.4 74.5  0.7 0.6
81 13 5.85
74.5 0.7
0.6
102 14  6.3 58.6  0.7 0.8
64 15 6.75
58.6 0.7
0.8
57 15 6.75
58.6 0.7
0.8
114 10  4.5 55.4  0.7 0.6
87 11 4.95
55.4 0.7
0.6
80 14 6.3
55.4 0.7
0.6
115 9 4.05
62.7 0.8
0.5
84 10 4.5
62.7 0.8
0.5
57 10 4.5
62.7 0.8
0.5
194 15  6.75 65.1  0.5 0.5
122 16  7.2 65.1  0.5 0.5
121 16  7.2 65.1  0.5 0.5
147 13  5.85 73.1  0.7 0.8
146 14  6.3 73.1  0.7 0.8
58 15 6.75
73.1 0.7
0.8
114 17  7.65 54.6  0.8 0.8
73 19 8.55
54.6 0.8
0.8
60 19 8.55
54.6 0.8
0.8
190 9 4.05
61.5 0.8
0.9
185 10  4.5 61.5  0.8 0.9
55 10 4.5
61.5 0.8
0.9
134 9 4.05
68.2 0.6
0.7
127 9 4.05
68.2 0.6
0.7
57 9 4.05
68.2 0.6
0.7
189 7 3.15
71 0.6  0.8
171 7 3.15
71 0.6  0.8
58 8 3.6
71 0.6  0.8
193 16  7.2 66.4  0.7 0.8
137 17  7.65 66.4  0.7 0.8
64 17 7.65
66.4 0.7
0.8
198 11  4.95 52  0.6 0.9
181 11  4.95 52  0.6 0.9
60 12 5.4
52 0.6  0.9
102 10  4.5 73.6  0.6 0.7
94 10 4.5
73.6 0.6
0.7
64 12 5.4
73.6 0.6
0.7
155 13  5.85 50.7  0.6 0.5
69 14 6.3
50.7 0.6
0.5
53 15 6.75
50.7 0.6
0.5
197 7 3.15
68.4 0.7
0.9
143 8 3.6
68.4 0.7
0.9
136 8 3.6
68.4 0.7
0.9
181 16  7.2 55.4  0.5 0.5
122 16  7.2 55.4  0.5 0.5
72 16 7.2
55.4 0.5
0.5
195 10  4.5 59.7  0.7 0.7
189 10  4.5 59.7  0.7 0.7
188 12  5.4 59.7  0.7 0.7
133 6 2.7
51.4 0.6
0.5
105 8 3.6
51.4 0.6
0.5
93 9 4.05
51.4 0.6
0.5
191 10  4.5 78.9  0.6 0.8
184 12  5.4 78.9  0.6 0.8
133 12  5.4 78.9  0.6 0.8
171 7 3.15
70.8 0.8
0.7
169 7 3.15
70.8 0.8
0.7
149 8 3.6
70.8 0.8
0.7
159 17  7.65 70.6  0.9 0.6
143 17  7.65 70.6  0.9 0.6
111 18  8.1 70.6  0.9 0.6
120 12  5.4 75.4  0.8 0.7
102 13  5.85 75.4  0.8 0.7
101 14  6.3 75.4  0.8 0.7
155 18  8.1 53.1  0.5 0.8
104 18  8.1 53.1  0.5 0.8
81 21 9.45
53.1 0.5
0.8
147 9 4.05
52.2 0.8
0.8
139 9 4.05
52.2 0.8
0.8
135 11  4.95 52.2  0.8 0.8
190 4 1.8
70.4 0.6
0.7
174 6 2.7
70.4 0.6
0.7
123 7 3.15
70.4 0.6
0.7
171 14  6.3 79.1  0.7 0.6
124 15  6.75 79.1  0.7 0.6
70 16 7.2
79.1 0.7
0.6
155 8 3.6
67.3 0.6
0.8
68 9 4.05
67.3 0.6
0.8
62 10 4.5
67.3 0.6
0.8
158 11  4.95 76.2  0.6 0.7
146 11  4.95 76.2  0.6 0.7
86 12 5.4
76.2 0.6
0.7
169 5 2.25
78.2 0.7
0.7
139 6 2.7
78.2 0.7
0.7
65 6 2.7
78.2 0.7
0.7
177 13  5.85 51.4  0.5 0.6
90 14 6.3
51.4 0.5
0.6
75 14 6.3
51.4 0.5
0.6
154 7 3.15
69.2 0.6
0.7
103 7 3.15
69.2 0.6
0.7
75 10 4.5
69.2 0.6
0.7
102 4 1.8
56.4 0.7
0.7
98 5 2.25
56.4 0.7
0.7
90 7 3.15
56.4 0.7
0.7
142 19  8.55 72.8  0.5 0.8
95 20 9
72.8 0.5
0.8
83 21 9.45
72.8 0.5
0.8
126 18  8.1 69.8  0.6 0.9
123 18  8.1 69.8  0.6 0.9
108 19  8.55 69.8  0.6 0.9
123 9 4.05
69.4 0.7
0.7
87 10 4.5
69.4 0.7
0.7
71 11 4.95
69.4 0.7
0.7
148 11  4.95 76.6  0.9 0.7
125 11  4.95 76.6  0.9 0.7
78 12 5.4
76.6 0.9
0.7
195 6 2.7
57.7 0.9
0.7
121 8 3.6
57.7 0.9
0.7
105 8 3.6
57.7 0.9
0.7
195 16  7.2 57.2  0.7 0.6
164 17  7.65 57.2  0.7 0.6
78 17 7.65
57.2 0.7
0.6
181 5 2.25
63 0.8  0.8
103 5 2.25
63 0.8  0.8
62 7 3.15
63 0.8  0.8
154 10  4.5 71.9  0.5 0.7
139 12  5.4 71.9  0.5 0.7
121 13  5.85 71.9  0.5 0.7
179 17  7.65 59.5  0.5 0.7
127 18  8.1 59.5  0.5 0.7
73 18 8.1
59.5 0.5
0.7
200 10  4.5 54.4  0.9 0.9
119 11  4.95 54.4  0.9 0.9
58 12 5.4
54.4 0.9
0.9
151 12  5.4 55.2  0.9 0.8
103 13  5.85 55.2  0.9 0.8
96 13 5.85
55.2 0.9
0.8
140 14  6.3 58  0.5 0.7
75 16 7.2
58 0.5  0.7
57 16 7.2
58 0.5  0.7
191 9 4.05
66.5 0.6
0.6
145 9 4.05
66.5 0.6
0.6
73 11 4.95
66.5 0.6
0.6
141 5 2.25
52.8 0.5
0.9
130 5 2.25
52.8 0.5
0.9
93 6 2.7
52.8 0.5
0.9
115 9 4.05
64.8 0.9
0.7
107 9 4.05
64.8 0.9
0.7
60 10 4.5
64.8 0.9
0.7
156 8 3.6
51.1 0.6
0.7
150 8 3.6
51.1 0.6
0.7
122 8 3.6
51.1 0.6
0.7
153 14  6.3 76  0.8 0.7
138 14  6.3 76  0.8 0.7
85 15 6.75
76 0.8  0.7
183 12  5.4 60.1  0.5 0.7
175 12  5.4 60.1  0.5 0.7
161 13  5.85 60.1  0.5 0.7
173 12  5.4 58.3  0.7 0.7
78 13 5.85
58.3 0.7
0.7
62 15 6.75
58.3 0.7
0.7
148 7 3.15
73.2 0.6
0.6
138 10  4.5 73.2  0.6 0.6
54 10 4.5
73.2 0.6
0.6
184 5 2.25
74 0.6  0.8
182 6 2.7
74 0.6  0.8
174 7 3.15
74 0.6  0.8
194 9 4.05
70.8 0.7
0.6
156 11  4.95 70.8  0.7 0.6
101 11  4.95 70.8  0.7 0.6
189 6 2.7
70.7 0.5
0.7
105 6 2.7
70.7 0.5
0.7
75 7 3.15
70.7 0.5
0.7
195 12  5.4 51.7  0.6 0.7
100 13  5.85 51.7  0.6 0.7
93 14 6.3
51.7 0.6
0.7
174 7 3.15
51.2 0.7
0.6
139 10  4.5 51.2  0.7 0.6
96 10 4.5
51.2 0.7
0.6
191 6 2.7
56.3 0.7
0.6
144 8 3.6
56.3 0.7
0.6
68 9 4.05
56.3 0.7
0.6
121 6 2.7
69.9 0.8
0.5
108 8 3.6
69.9 0.8
0.5
62 8 3.6
69.9 0.8
0.5
193 4 1.8
71.7 0.5
0.6
69 4 1.8
71.7 0.5
0.6
63 6 2.7
71.7 0.5
0.6
84 4 1.8
70.7 0.7
0.6
58 5 2.25
70.7 0.7
0.6
53 6 2.7
70.7 0.7
0.6
175 6 2.7
71 0.8  0.7
165 7 3.15
71 0.8  0.7
68 7 3.15
71 0.8  0.7
177 10  4.5 68.3  0.8 0.9
146 11  4.95 68.3  0.8 0.9
143 12  5.4 68.3  0.8 0.9
129 12  5.4 78.2  0.9 0.7
95 13 5.85
78.2 0.9
0.7
80 14 6.3
78.2 0.9
0.7
133 7 3.15
71.8 0.8
0.8
120 7 3.15
71.8 0.8
0.8
74 9 4.05
71.8 0.8
0.8
199 16  7.2 67.2  0.5 0.6
168 16  7.2 67.2  0.5 0.6
149 16  7.2 67.2  0.5 0.6
180 8 3.6
74.1 0.5
0.8
167 8 3.6
74.1 0.5
0.8
103 10  4.5 74.1  0.5 0.8
179 15  6.75 50.7  0.8 0.8
132 16  7.2 50.7  0.8 0.8
130 16  7.2 50.7  0.8 0.8
136 7 3.15
76.1 0.7
0.7
134 9 4.05
76.1 0.7
0.7
127 9 4.05
76.1 0.7
0.7
109 7 3.15
61.3 0.5
0.5
102 7 3.15
61.3 0.5
0.5
76 7 3.15
61.3 0.5
0.5
170 9 4.05
54.5 0.8
0.7
150 10  4.5 54.5  0.8 0.7
89 11 4.95
54.5 0.8
0.7
188 7 3.15
64.1 0.5
0.6
121 7 3.15
64.1 0.5
0.6
87 8 3.6
64.1 0.5
0.6
144 6 2.7
58.1 0.5
0.8
114 7 3.15
58.1 0.5
0.8
81 8 3.6
58.1 0.5
0.8
176 3 1.35
56.6 0.7
0.8
171 6 2.7
56.6 0.7
0.8
91 6 2.7
56.6 0.7
0.8
179 5 2.25
74.6 0.7
0.5
169 5 2.25
74.6 0.7
0.5
79 6 2.7
74.6 0.7
0.5
192 18  8.1 78.3  0.8 0.6
160 19  8.55 78.3  0.8 0.6
146 20  9 78.3  0.8 0.6
160 7 3.15
